cell_id,cx,cy,cz,lambda,chi,sigma,is_interface,surface_x,surface_y,surface_z,normal_x,normal_y,normal_z,interpolation_coefficient
220,0.057,0.007,0.001,0,0,0.01,0,0,0,0,0,0,0,0
221,0.059,0.007,0.001,0,0,0.01,0,0,0,0,0,0,0,0
222,0.061,0.007,0.001,0,0,0.01,0,0,0,0,0,0,0,0
223,0.063,0.007,0.001,0,0,0.01,0,0,0,0,0,0,0,0
224,0.065,0.007,0.001,0,0,0.010198,0,0,0,0,0,0,0,0
225,0.067,0.007,0.001,0,0,0.0107703,0,0,0,0,0,0,0,0
226,0.069,0.007,0.001,0,0,0.0116619,0,0,0,0,0,0,0,0
227,0.071,0.007,0.001,0,0,0.01,0,0,0,0,0,0,0,0
228,0.073,0.007,0.001,0,0,0.008,0,0,0,0,0,0,0,0
229,0.075,0.007,0.001,0,0,0.006,0,0,0,0,0,0,0,0
230,0.077,0.007,0.001,0,0,0.004,0,0,0,0,0,0,0,0
231,0.079,0.007,0.001,0.208609,1,0.002,1,0,0,0,0,0,0,0.666667
232,0.081,0.007,0.001,1,1,-0.002,1,0,0,0,0,0,0,0.666667
233,0.083,0.007,0.001,1,1,-0.004,0,0,0,0,0,0,0,0
234,0.085,0.007,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
235,0.087,0.007,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
236,0.089,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
237,0.091,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
238,0.093,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
239,0.095,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
240,0.097,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
241,0.099,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
242,0.101,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
243,0.103,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
244,0.105,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
245,0.107,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
246,0.109,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
247,0.111,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
248,0.113,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
249,0.115,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
250,0.117,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
251,0.119,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
252,0.121,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
253,0.123,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
254,0.125,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
255,0.127,0.007,0.001,1,1,-0.01,0,0,0,0,0,0,0,0
256,0.001,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
257,0.003,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
258,0.005,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
259,0.007,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
260,0.009,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
261,0.011,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
262,0.013,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
263,0.015,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
264,0.017,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
265,0.019,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
266,0.021,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
267,0.023,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
268,0.025,0.009,0.001,1,1,-0.008,0,0,0,0,0,0,0,0
269,0.027,0.009,0.001,1,1,-0.006,0,0,0,0,0,0,0,0
270,0.029,0.009,0.001,1,1,-0.004,0,0,0,0,0,0,0,0
271,0.031,0.009,0.001,1,1,-0.002,1,0,0,0,0,0,0,0.666667
272,0.033,0.009,0.001,0.208609,1,0.002,1,0,0,0,0,0,0,0.666667
273,0.035,0.009,0.001,0,0,0.004,0,0,0,0,0,0,0,0
274,0.037,0.009,0.001,0,0,0.006,0,0,0,0,0,0,0,0
275,0.039,0.009,0.001,0,0,0.008,0,0,0,0,0,0,0,0
276,0.041,0.009,0.001,0,0,0.01,0,0,0,0,0,0,0,0
277,0.043,0.009,0.001,0,0,0.01,0,0,0,0,0,0,0,0
278,0.045,0.009,0.001,0,0,0.00894427,0,0,0,0,0,0,0,0
279,0.047,0.009,0.001,0,0,0.00824621,0,0,0,0,0,0,0,0
280,0.049,0.009,0.001,0,0,0.008,0,0,0,0,0,0,0,0
281,0.051,0.009,0.001,0,0,0.008,0,0,0,0,0,0,0,0
282,0.053,0.009,0.001,0,0,0.008,0,0,0,0,0,0,0,0
283,0.055,0.009,0.001,0,0,0.008,0,0,0,0,0,0,0,0
284,0.057,0.009,0.001,0,0,0.008,0,0,0,0,0,0,0,0
285,0.059,0.009,0.001,0,0,0.008,0,0,0,0,0,0,0,0
286,0.061,0.009,0.001,0,0,0.008,0,0,0,0,0,0,0,0
287,0.063,0.009,0.001,0,0,0.008,0,0,0,0,0,0,0,0
288,0.065,0.009,0.001,0,0,0.00824621,0,0,0,0,0,0,0,0
289,0.067,0.009,0.001,0,0,0.00894427,0,0,0,0,0,0,0,0
290,0.069,0.009,0.001,0,0,0.01,0,0,0,0,0,0,0,0
291,0.071,0.009,0.001,0,0,0.01,0,0,0,0,0,0,0,0
292,0.073,0.009,0.001,0,0,0.008,0,0,0,0,0,0,0,0
293,0.075,0.009,0.001,0,0,0.006,0,0,0,0,0,0,0,0
294,0.077,0.009,0.001,0,0,0.004,0,0,0,0,0,0,0,0
