case_id,method,simple_steps,rho_residual,rho_u,rho_p,rho_phi,rel_u,rel_p
topology_0290,cold,190,0.04165742855956963,0.041639405833689594,0.0012252423286590085,4.153192397054369e-06,0.22334063093143364,0.5103038815173201
topology_0290,cold,195,0.04082658066639582,0.04080912459435553,0.0011937429265408688,4.071538511486171e-06,0.22084725046264767,0.5078201813982873
topology_0290,cold,200,0.04002914382476202,0.04001222068084541,0.0011638451721360894,3.993257676934203e-06,0.21840046417602976,0.5053692155541734
topology_0290,cold,205,0.03926268126610349,0.03924626019910356,0.001135422932776606,3.918114178334076e-06,0.21599865029783807,0.5029500813954179
topology_0290,cold,210,0.038525026442941285,0.03850907919326821,0.001108362452004223,3.845895162340693e-06,0.21364029575364446,0.5005619125573956
topology_0290,cold,215,0.03781422341812137,0.03779872405436569,0.001082560998862605,3.776407847981654e-06,0.21132398637967661,0.49820387595504234
topology_0290,cold,220,0.037128536776254245,0.037113461474576746,0.0010579256876298152,3.709477846696236e-06,0.20904839553422558,0.4958751709324754
topology_0290,cold,225,0.03646640341377224,0.03645173025437554,0.0010343723278337202,3.6449465378799437e-06,0.20681227388295734,0.4935750285779336
topology_0290,cold,230,0.03582641022642995,0.03581211900785369,0.0010118246114059009,3.5826695870549664e-06,0.2046144418530189,0.4913027097924298
topology_0290,cold,235,0.03520727530377819,0.03519334737818045,0.0009902132228135992,3.522515334360923e-06,0.2024537830316455,0.48905750405138926
topology_0290,cold,240,0.03460783301642038,0.03459425114083644,0.0009694751649006732,3.4643635352542177e-06,0.2003292384105708,0.4868387281237875
topology_0290,cold,245,0.03402701978150531,0.034013767985349525,0.0009495530709721841,3.408104091896073e-06,0.19823980137837285,0.48464572480777757
topology_0290,cold,250,0.033463863326854255,0.03345092678966628,0.0009303947677690702,3.3536362335337193e-06,0.19618451328742592,0.48247786159010897
topology_0290,cold,255,0.03291746485501793,0.03290482980383984,0.0009119523923709034,3.3008669672733944e-06,0.1941624596479201,0.48033452958051104
topology_0290,cold,260,0.03238698691974526,0.03237464054741054,0.0008941815280418901,3.249710803694224e-06,0.19217276817344298,0.47821514129353754
topology_0290,cold,265,0.03187171025131133,0.03185964060736645,0.0008770430276931515,3.2000883676601986e-06,0.1902146027130392,0.47611913075892187
topology_0290,cold,270,0.03137091984413535,0.03135911575148705,0.0008605005620901053,3.151927150502752e-06,0.18828716136226528,0.47404595470427124
topology_0290,cold,275,0.030883958633699367,0.030872409636216788,0.0008445202778292702,3.1051598578208684e-06,0.18638967581643226,0.4719950887964349
topology_0290,cold,280,0.030410205938707857,0.030398902231638047,0.0008290711573951779,3.0597237173371433e-06,0.18452140963251618,0.4699660267428362
topology_0290,cold,285,0.029949123079275396,0.029938055466879696,0.0008141246747374972,3.0155605108244143e-06,0.18268165466631275,0.467958279112374
topology_0290,cold,290,0.029500181266624854,0.029489341100093394,0.0007996545564319162,2.972615853774641e-06,0.180869728220293,0.4659713737777382
topology_0290,cold,295,0.029062885429244532,0.029052264559948335,0.0007856365714158561,2.9308390712547358e-06,0.17908497333450177,0.4640048555756158
topology_0290,cold,300,0.028636772435797975,0.028626363174271724,0.0007720483153418885,2.8901828131405487e-06,0.17732675734574666,0.4620582843494637
topology_0290,cold,305,0.028221410558484577,0.028211205641097626,0.0007588689348703467,2.8506026405379995e-06,0.17559447026402958,0.46013123440773507
topology_0290,cold,310,0.0278163924226411,0.027806384974756366,0.0007460791769946817,2.81205695668479e-06,0.17388752344888173,0.45822329414977114
topology_0290,cold,315,0.027421334333067905,0.027411517839032052,0.0007336611400562409,2.774506659389452e-06,0.17220534859640035,0.45633406533239684
